Name,Class,SubClass,Faction,Role,ThreatRating,TankDoctrine,OptimalRange,HighSlots,MidSlots,LowSlots,RigSlots,Turrets,Launchers,Powergrid_MW,CPU_tf,BaseSpeed_ms,SigRadius_m,DroneBay_m3,DroneBandwidth_Mbit,HullBonuses
Myrmidon Navy Issue,Faction Battlecruiser,Battlecruiser,Gallente (Navy),Heavy Web / Drone BC,THREAT_COMBATANT,Armor Buffer,0-40 km,7,5,6,3,6,6,1350,440,155,260,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%) | Role Bonus: 90% Stasis Webifier velocity reduction strength
Naga,Attack Battlecruiser,Attack Battlecruiser,Caldari,Battleship-Gun Rail Sniper,THREAT_COMBATANT,Paper Thin Shield,80-150 km,8,5,5,3,8,8,9500,410,200,310,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Naglfar,Dreadnought,Dreadnought,Minmatar,Capital Projectile Siege,THREAT_CAPITAL,Shield / Armor Active,Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Naglfar Navy Issue,Faction Dreadnought,Dreadnought,Minmatar (Fleet),Navy Capital Projectile Dread,THREAT_CAPITAL,Shield / Armor Active,Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Navitas,Frigate,Logistics Cruiser,Gallente,Armor Logistics Frigate,THREAT_LOGI,Armor,Remote Armor,5,5,4,2,0,0,1050,440,240,110,25,25,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Nemesis,Stealth Bomber,Stealth Bomber,Gallente,Covert Torpedo / Bomb Bomber,THREAT_COVERT,Paper Thin,30-60 km,5,4,2,2,0,3,45,240,280,40,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Nestor,Battleship,Battleship,Sisters of EVE,Remote Rep / Wormhole Core,THREAT_PIRATE,Armor Buffer,0-20 km,8,6,7,3,7,7,16500,650,115,420,125,100,
Nidhoggur,Carrier,Carrier,Minmatar,Capital Fighter Carrier,THREAT_CAPITAL,Shield Buffer,Fighter Range,5,6,6,3,0,0,550000,1100,70,9800,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Nighthawk,Command Ship,Command Ship,Caldari,Shield Fleet Command / HAM,THREAT_T2_COMBAT,Immense Shield Buffer,20-50 km,7,5,6,2,5,5,1600,510,165,240,75,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Nightmare,Battleship,Battleship,Sansha's Nation,Fast Laser Battleship,THREAT_PIRATE,Shield Buffer,30-80 km,8,6,7,3,7,7,16500,650,115,420,125,100,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Ninazu,Force Auxiliary,Force Auxiliary,Gallente,Capital Armor FAX,THREAT_CAPITAL,Active Armor (Triage),Remote Armor,5,6,6,3,0,0,580000,1050,65,9500,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Noctis,Salvage Ship,Combat Frigate,ORE,Fleet Salvage / Tractor Flagship,THREAT_HAULER,Shield Buffer,0-40 km,3,3,3,3,3,3,45,150,360,38,0,0,
Nomad,Jump Freighter,Freighter,Minmatar,Fast Capital Jump Freighter,THREAT_HAULER,Shield Buffer,0 km,0,0,3,3,0,0,0,0,65,3500,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Nyx,Supercarrier,Supercarrier,Gallente,Supercapital Heavy Carrier,THREAT_SUPER,Armor Buffer,Omni Grid,6,7,7,3,0,0,1200000,1800,60,18000,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Obelisk,Freighter,Freighter,Gallente,Standard Sub-Capital Freighter,THREAT_HAULER,Buffer,0 km,0,0,3,3,0,0,0,0,65,3500,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Occator,Deep Space Transport,Combat Frigate,Gallente,Heavy Armor DST,THREAT_HAULER,Immense Armor Buffer (+2 Warp Core),0 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Omen,Cruiser,Cruiser,Amarr,Beam / Pulse Attack Cruiser,THREAT_COMBATANT,Armor Buffer,20-45 km,5,4,5,3,4,4,950,360,220,130,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Omen Navy Issue,Faction Cruiser,Cruiser,Amarr (Navy),Heavy Laser Nano Kiter,THREAT_COMBATANT,Armor Buffer,25-55 km,5,4,5,3,4,4,950,360,220,130,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Oneiros,Logistics Cruiser,Logistics Cruiser,Gallente,T2 Solo Armor Logistics,THREAT_LOGI,Armor,Remote Armor,5,5,4,2,0,0,1050,440,240,110,25,25,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Oracle,Attack Battlecruiser,Attack Battlecruiser,Amarr,Battleship-Gun Laser Sniper,THREAT_COMBATANT,Paper Thin Armor,60-140 km,8,5,5,3,8,8,9500,410,200,310,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Orca,Industrial Command,Industrial,ORE,Heavy Mining Command / Fleet Hangar,THREAT_HAULER,Immense Shield Buffer (300k+ EHP),Mining Boost Range,2,4,4,3,0,0,95,250,130,240,0,0,
Orthrus,Cruiser,Cruiser,Mordu's Legion,Long-Range Point & Web Kiter,THREAT_PIRATE,Shield,35-50 km,5,4,5,3,4,4,950,360,220,130,50,50,Role Bonus: 90% Stasis Webifier velocity reduction strength
Osprey,Cruiser,Logistics Cruiser,Caldari,Shield Logistics Cruiser,THREAT_LOGI,Shield,Remote Shield (Cap Transfer),5,5,4,2,0,0,1050,440,240,110,25,25,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Osprey Navy Issue,Faction Cruiser,Cruiser,Caldari (Navy),Fast Missile Kiter,THREAT_COMBATANT,Shield Buffer,30-60 km,5,4,5,3,4,4,950,360,220,130,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Pacifier,Frigate,Interceptor,CONCORD,Covert Ops / Fast Interceptor,THREAT_COVERT,Shield / Armor,0-20 km,3,3,3,2,2,2,38,140,470,32,0,0,Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Paladin,Marauder,Marauder,Amarr,Bastion Beam / Pulse Marauder,THREAT_MARAUDER,Active Armor (Bastion Mode),40-100 km (Mega Pulse / Scorch) / 100-180 km (Tachyon),8,6,7,2,4,4,19500,720,120,440,125,100,"Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Bastion Module capability (100% weapon range, 100% local rep, EWAR immunity)"
Panther,Black Ops,Black Ops,Minmatar,Covert Jump / Projectile Battleship,THREAT_CYNO,Shield / Armor Buffer,25-60 km,8,6,7,2,6,6,17500,700,140,380,125,100,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Phantasm,Cruiser,Cruiser,Sansha's Nation,100MN AB Laser Cruiser,THREAT_PIRATE,Shield Buffer / Active,15-35 km,5,4,5,3,4,4,950,360,220,130,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Phobos,Heavy Interdiction Cruiser,Heavy Interdiction Cruiser,Gallente,Warp Disruption Field Generator,THREAT_BUBBLE,Immense Armor Buffer,0-20 km (Bubble) / Infinite Scram,6,6,4,2,4,4,1300,430,210,140,25,25,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Phoenix,Dreadnought,Dreadnought,Caldari,Capital Torpedo / Cruise Dread,THREAT_CAPITAL,Active Shield (Siege),Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Phoenix Navy Issue,Faction Dreadnought,Dreadnought,Caldari (Navy),Navy Capital Missile Dread,THREAT_CAPITAL,Shield Active,Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Pilgrim,Force Recon,Force Recon Ship,Amarr,Covert Cloak / Cap Neut / Cyno,THREAT_CYNO,Paper Thin,0-25 km,5,5,4,2,3,3,880,470,225,115,40,40,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Pontifex,Command Destroyer,Command Destroyer,Amarr,Micro Jump Field / Armor Skiff,THREAT_BUBBLE,Armor Buffer,0-20 km,6,4,4,2,4,4,88,245,330,62,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Porpoise,Industrial Command,Industrial,ORE,Compact Mining Command / Booster,THREAT_MINING,Shield Buffer,Mining Boost Range,2,4,4,3,0,0,95,250,130,240,0,0,
Praxis,Battleship,Battleship,Society of Conscious Thought,Multi-Role Line Battleship,THREAT_COMBATANT,Shield / Armor / Hull Buffer,0-80 km,8,6,7,3,7,7,16500,650,115,420,125,100,
Probe,Frigate,Combat Frigate,Minmatar,Exploration / Light Drone,THREAT_COMBATANT,Shield / Armor,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Probe Navy Issue,Faction Frigate,Combat Frigate,Minmatar (Fleet),Combat Explorer / Rocket Brawler,THREAT_COMBATANT,Shield Buffer,0-20 km,3,3,3,3,3,3,45,150,360,38,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Procurer,Mining Barge,Mining Barge,ORE,Heavy Tanked Mining Barge,THREAT_MINING,Heavy Shield Buffer (60k+ EHP),0-15 km,2,4,2,3,2,0,45,260,100,200,50,25,
Prophecy,Battlecruiser,Battlecruiser,Amarr,Heavy Drone / Armor Fleet BC,THREAT_COMBATANT,Massive Armor Buffer (Triple Trimark),0-50 km,7,5,6,3,6,6,1350,440,155,260,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Prophecy Navy Issue,Faction Battlecruiser,Battlecruiser,Amarr (Navy),Navy Missile / Drone BC,THREAT_COMBATANT,Armor Buffer,20-60 km,7,5,6,3,6,6,1350,440,155,260,50,50,"Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)"
Prorator,Blockade Runner,Combat Frigate,Amarr,Covert Fast Hauler,THREAT_HAULER,Cloaked Armor,0 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Prospect,Expedition Frigate,Combat Frigate,ORE,Covert Ops Gas / Ore Miner,THREAT_MINING,Cloaked Shield,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Proteus,Strategic Cruiser,Strategic Cruiser,Gallente,Modular T3C (Blaster / Drone / Cloak),THREAT_T2_COMBAT,Armor Buffer / Active,0-25 km,6,6,6,3,5,5,1200,460,235,115,60,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Providence,Freighter,Freighter,Amarr,Standard Sub-Capital Freighter,THREAT_HAULER,Buffer,0 km,0,0,3,3,0,0,0,0,65,3500,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Prowler,Blockade Runner,Combat Frigate,Minmatar,Covert Fast Hauler,THREAT_HAULER,Cloaked Shield,0 km,3,3,3,3,3,3,45,150,360,38,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Punisher,Frigate,Combat Frigate,Amarr,Heavy Armor Buffer / Laser Frigate,THREAT_COMBATANT,Immense Armor Buffer (4 Low Slots),0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Purifier,Stealth Bomber,Stealth Bomber,Amarr,Covert Torpedo / Bomb Bomber,THREAT_COVERT,Paper Thin,30-60 km,5,4,2,2,0,3,45,240,280,40,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Ragnarok,Titan,Titan,Minmatar,Supercapital Gjallarhorn Titan,THREAT_SUPER,Shield Buffer,Omni Grid,8,7,8,3,6,6,4500000,2500,50,35000,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Rapier,Force Recon,Force Recon Ship,Minmatar,Covert Cloak / 40km Web / Cyno,THREAT_CYNO,Paper Thin,0-40 km,5,5,4,2,3,3,880,470,225,115,40,40,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: 90% Stasis Webifier velocity reduction strength | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Raptor,Interceptor,Interceptor,Caldari,Fleet Tackle / Hybrid Interceptor,THREAT_COMBATANT,Shield,0-15 km,3,3,3,2,2,2,38,140,470,32,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Rattlesnake,Battleship,Battleship,Guristas,Heavy Drone / Cruise Battleship,THREAT_PIRATE,Passive / Active Shield,20-80 km,8,6,7,3,7,7,16500,650,115,420,125,100,Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Raven,Battleship,Battleship,Caldari,Cruise / Torpedo Battleship,THREAT_COMBATANT,Shield Buffer / Active,40-120 km (Cruise) / 15-35 km (Torp),8,6,7,3,7,7,16500,650,115,420,125,100,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Raven Navy Issue,Faction Battleship,Battleship,Caldari (Navy),Cruise / Torp Navy Battleship,THREAT_COMBATANT,Shield Buffer,40-140 km,8,6,7,3,7,7,16500,650,115,420,125,100,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Redeemer,Black Ops,Black Ops,Amarr,Covert Jump / Laser Battleship,THREAT_CYNO,Armor Buffer / Active,30-80 km,8,6,7,2,6,6,17500,700,140,380,125,100,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Republic Fleet Firetail,Faction Frigate,Combat Frigate,Minmatar (Fleet),High Alpha Projectile Brawler,THREAT_COMBATANT,Shield / Armor,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Retribution,Assault Frigate,Assault Frigate,Amarr,Beam Laser / ADC Assault,THREAT_T2_COMBAT,Armor Buffer + ADC,15-45 km,4,3,4,2,3,3,58,175,380,35,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Retriever,Mining Barge,Mining Barge,ORE,High-Capacity Mining Barge,THREAT_MINING,Paper Thin,0-15 km,2,4,2,3,2,0,45,260,100,200,50,25,
Revelation,Dreadnought,Dreadnought,Amarr,Capital Mega Beam / Pulse Dread,THREAT_CAPITAL,Active Armor (Siege),Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Revelation Navy Issue,Faction Dreadnought,Dreadnought,Amarr (Navy),Navy Capital Laser Dread,THREAT_CAPITAL,Armor Active,Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Revenant,Supercarrier,Supercarrier,Sansha's Nation,Pirate Supercarrier,THREAT_SUPER,Shield Buffer,Omni Grid,6,7,7,3,0,0,1200000,1800,60,18000,0,0,
Rhea,Jump Freighter,Freighter,Caldari,Capital Jump Freighter,THREAT_HAULER,Shield Buffer,0 km,0,0,3,3,0,0,0,0,65,3500,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Rifter,Frigate,Combat Frigate,Minmatar,Projectile Brawler / Kiter,THREAT_COMBATANT,Armor / Shield Buffer,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Rodiva,Cruiser,Cruiser,Triglavian,Spooling Remote Armor Rep,THREAT_LOGI,Armor,Remote Rep Range,5,4,5,3,4,4,950,360,220,130,50,50,
Rokh,Battleship,Battleship,Caldari,Rail Sniper Battleship,THREAT_COMBATANT,Shield Buffer,80-160 km,8,6,7,3,7,7,16500,650,115,420,125,100,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Rook,Combat Recon,Combat Recon Ship,Caldari,D-Scan Immune ECM Cruiser,THREAT_ECM,Shield Buffer,50-90 km,5,5,4,2,4,4,900,480,215,120,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Rorqual,Capital Industrial,Industrial,ORE,Capital Mining Command / PANIC,THREAT_CAPITAL,Active Shield (Industrial Core + PANIC),Mining Grid,2,4,4,3,0,0,95,250,130,240,0,0,
Rupture,Cruiser,Cruiser,Minmatar,Heavy Projectile Fleet Cruiser,THREAT_COMBATANT,Armor / Shield Buffer,0-25 km,5,4,5,3,4,4,950,360,220,130,50,50,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Sabre,Interdictor,Interdictor,Minmatar,Premier Warp Bubble Launcher,THREAT_BUBBLE,Shield Buffer,0-15 km,8,3,3,2,6,6,76,225,325,68,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Sacrilege,Heavy Assault Cruiser,Heavy Assault Cruiser,Amarr,HAC Heavy Assault Missile Brawler,THREAT_T2_COMBAT,Heavy Armor Buffer / Active + ADC,15-40 km,5,4,6,2,5,5,1150,410,230,125,50,50,"Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Scalpel,Logistics Frigate,Logistics Cruiser,Minmatar,T2 Shield Logistics Frigate,THREAT_LOGI,Shield,Remote Shield,5,5,4,2,0,0,1050,440,240,110,25,25,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Scimitar,Logistics Cruiser,Logistics Cruiser,Minmatar,T2 Solo Shield Logistics,THREAT_LOGI,Shield,Remote Shield,5,5,4,2,0,0,1050,440,240,110,25,25,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Scorpion,Battleship,Battleship,Caldari,Fleet ECM Battleship,THREAT_ECM,Shield Buffer,60-120 km,8,6,7,3,7,7,16500,650,115,420,125,100,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Scorpion Navy Issue,Faction Battleship,Battleship,Caldari (Navy),Heavy Shield / Missile Brawler,THREAT_COMBATANT,Immense Shield Buffer,30-80 km,8,6,7,3,7,7,16500,650,115,420,125,100,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Scythe,Cruiser,Logistics Cruiser,Minmatar,Shield Logistics Cruiser,THREAT_LOGI,Shield,Remote Shield,5,5,4,2,0,0,1050,440,240,110,25,25,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Scythe Navy Issue,Faction Cruiser,Cruiser,Minmatar (Fleet),Fast Missile / Rocket Kiter,THREAT_COMBATANT,Shield Buffer,25-60 km,5,4,5,3,4,4,950,360,220,130,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus"
Sentinel,Electronic Attack Ship,Electronic Attack Ship,Amarr,Long-Range Cap Drain & Tracking Disruptor,THREAT_ECM,Paper Thin,30-50 km,3,5,3,2,2,2,42,220,390,36,15,15,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Sigil,Industrial,Industrial,Amarr,Fast Industrial Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Sin,Black Ops,Black Ops,Gallente,Covert Jump / Drone / Neut Battleship,THREAT_CYNO,Armor Buffer / Active,0-60 km,8,6,7,2,6,6,17500,700,140,380,125,100,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%) | Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Skiff,Exhumer,Exhumer,ORE,Immense Tanked T2 Exhumer,THREAT_MINING,Immense Shield Buffer (100k+ EHP),0-15 km,2,4,3,2,2,0,60,320,110,180,50,50,
Skybreaker,Frigate,Combat Frigate,EDENCOM,Vortron Arcing Frigate,THREAT_COMBATANT,Shield,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,
Slasher,Frigate,Combat Frigate,Minmatar,Fast Tackle / Projectile Tackler,THREAT_COMBATANT,Shield Buffer,0-10 km,3,3,3,3,3,3,45,150,360,38,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Sleipnir,Command Ship,Command Ship,Minmatar,Shield Fleet Command / Autocannon Brawler,THREAT_T2_COMBAT,Immense Active Shield (Dual XL-ASB),15-40 km,7,5,6,2,5,5,1600,510,165,240,75,50,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Stabber,Cruiser,Cruiser,Minmatar,Autocannon / Artillery Attack Cruiser,THREAT_COMBATANT,Shield Buffer,0-20 km (AC) / 40-70 km (Art),5,4,5,3,4,4,950,360,220,130,50,50,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Stabber Navy Issue,Faction Cruiser,Cruiser,Minmatar (Fleet),Heavy Projectile Nano Kiter,THREAT_COMBATANT,Shield / Armor Buffer,15-35 km,5,4,5,3,4,4,950,360,220,130,50,50,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Stiletto,Interceptor,Interceptor,Minmatar,Premier Fast Tackle Interceptor,THREAT_COMBATANT,Shield,0-15 km,3,3,3,2,2,2,38,140,470,32,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Stork,Command Destroyer,Command Destroyer,Caldari,Micro Jump Field / Shield Skiff,THREAT_BUBBLE,Shield Buffer,0-20 km,6,4,4,2,4,4,88,245,330,62,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Stormbringer,Cruiser,Cruiser,EDENCOM,Vortron Arcing Cruiser,THREAT_COMBATANT,Shield,15-35 km,5,4,5,3,4,4,950,360,220,130,50,50,
Stratios,Cruiser,Cruiser,Sisters of EVE,Covert Ops / Drone Brawler,THREAT_PIRATE,Armor Buffer / Dual Rep,0-30 km,5,4,5,3,4,4,950,360,220,130,50,50,Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%) | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Succubus,Frigate,Combat Frigate,Sansha's Nation,AB Speed Laser Frigate,THREAT_PIRATE,Shield,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Sunesis,Destroyer,Destroyer,Society of Conscious Thought,Insta-Align Multi-Role Destroyer,THREAT_COMBATANT,Shield / Armor Buffer,0-25 km,8,2,3,3,7,7,72,200,310,65,0,0,
Svipul,Tactical Destroyer,Tactical Destroyer,Minmatar,T3 Mode-Switching Projectile Destroyer,THREAT_T2_COMBAT,Active / Passive Shield / Armor,0-40 km,6,4,4,1,4,4,84,235,315,60,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Talos,Attack Battlecruiser,Attack Battlecruiser,Gallente,Battleship-Gun Blaster / Rail Sniper,THREAT_COMBATANT,Paper Thin Shield/Armor,0-20 km (Blasters) / 80-140 km (Rails),8,5,5,3,8,8,9500,410,200,310,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Talwar,Destroyer,Destroyer,Minmatar,Light Missile / Rocket Kiter,THREAT_COMBATANT,Shield Buffer,30-65 km,8,2,3,3,7,7,72,200,310,65,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus"
Taranis,Interceptor,Interceptor,Gallente,Combat Blaster Interceptor,THREAT_COMBATANT,Armor,0-8 km,3,3,3,2,2,2,38,140,470,32,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Tayra,Industrial,Industrial,Caldari,High-Capacity Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Tempest,Battleship,Battleship,Minmatar,Artillery / AC Battleship,THREAT_COMBATANT,Shield / Armor,20-40 km AC / 100+ km Art,8,6,7,3,7,7,16500,650,115,420,125,100,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Tempest Fleet Issue,Faction Battleship,Battleship,Minmatar (Fleet),Artillery / AC High Alpha Battleship,THREAT_COMBATANT,Shield / Armor Buffer,25-50 km AC / 100+ km Art,8,6,7,3,7,7,16500,650,115,420,125,100,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
